"","Name","PassTD","Pct","TurnGain","RushYds","RushTD","rankscore"
"118","UTSA",15,0.545,22,2030,11,844.0088
"119","Vanderbilt",27,0.417,9,1286,14,417.2919
"120","Virginia",25,0.5,18,1186,10,464.35
"121","Virginia Tech",20,0.75,19,2006,17,1154.565
"122","Wake Forest",29,0.583,18,2210,20,991.81126
"123","Washington",18,0.833,21,2278,34,1465.54688
"124","Washington St.",35,0.75,27,860,8,527.205
"125","West Virginia",36,0.583,17,1925,18,870.87374
"126","Western Ky.",25,0.5,14,793,15,319.85
"127","Western Mich.",19,0.5,26,2697,26,1033.08
"128","Wisconsin",21,0.923,26,2979,28,2103.44316
"129","Wyoming",15,0.583,30,1293,13,590.47406
