"","Name","PassTD","Pct","TurnGain","RushYds","RushTD","rankscore"
"57","Miami (FL)",23,0.667,18,1892,24,976.92822
"58","Miami (OH)",25,0.5,21,1602,9,619.1
"59","Michigan",19,0.833,17,2679,40,1715.94668
"60","Michigan St.",19,0.25,13,2072,14,394.625
"61","Middle Tenn.",35,0.667,19,2384,25,1228.64068
"62","Minnesota",8,0.667,24,2237,33,1148.09376
"63","Mississippi St.",24,0.417,21,2798,22,890.9622
"64","Missouri",25,0.333,20,2461,24,629.18352
"65","Navy",8,0.692,17,4042,56,2128.48128
"66","NC State",17,0.5,19,1889,22,727.76
"67","Nebraska",16,0.75,18,2138,23,1229.265
"68","Nevada",18,0.417,15,2088,20,666.29928
"69","New Mexico",11,0.667,12,4331,45,2184.97194
"70","New Mexico St.",22,0.25,23,2037,13,390.88
"71","North Carolina",28,0.667,14,1778,20,918.40564
"72","North Texas",12,0.417,21,1640,23,529.3815
"73","Northern Ill.",20,0.417,16,2877,27,914.1474
"74","Northwestern",21,0.5,21,1743,19,674.89
"75","Notre Dame",27,0.333,14,1960,18,502.31718
"76","Ohio",20,0.615,24,2272,17,1070.6289
"77","Ohio St.",26,0.917,25,3100,33,2180.38758
"78","Oklahoma",41,0.833,16,2850,27,1825.90268
"79","Oklahoma St.",26,0.75,24,2032,30,1187.4
"80","Old Dominion",28,0.75,22,2353,27,1363.11
"81","Ole Miss",27,0.417,16,1793,17,577.80354
"82","Oregon",28,0.333,12,2717,29,692.58672
"83","Oregon St.",13,0.333,20,2300,24,585.75366
"84","Penn St.",25,0.846,20,2195,31,1438.4538
"85","Pittsburgh",26,0.667,17,2757,35,1413.21292
"86","Purdue",25,0.25,16,1154,12,226.345
"87","Rice",16,0.25,11,2036,23,389.275
"88","Rutgers",11,0.167,14,1739,8,220.25296
"89","San Diego St.",19,0.769,25,3553,32,2080.36032
"90","San Jose St.",18,0.333,19,1869,16,477.87498
"91","SMU",22,0.417,26,1959,14,629.52822
"92","South Alabama",14,0.5,20,1825,23,703.68
"93","South Carolina",9,0.5,25,1656,18,638.35
"94","South Fla.",24,0.833,21,3501,44,2233.28966
"95","Southern California",28,0.75,17,2487,17,1425.78
"96","Southern Miss.",24,0.5,14,2134,24,820.5
"97","Stanford",14,0.75,17,2587,20,1473.885
"98","Syracuse",24,0.333,19,1435,15,372.44052
"99","TCU",16,0.5,15,2360,29,903.57
"100","Temple",20,0.769,23,2486,31,1471.6353
"101","Tennessee",27,0.667,23,2438,27,1254.20012
"102","Texas",21,0.417,20,2871,27,914.22246
"103","Texas A&M",22,0.667,24,2610,27,1336.57462
"104","Texas St.",14,0.167,11,989,13,128.49648
"105","Texas Tech",47,0.417,13,1218,22,409.35222
"106","Toledo",44,0.75,10,2408,15,1386.735
"107","Troy",24,0.75,25,2112,25,1226.955
"108","Tulane",10,0.333,27,2737,25,695.01096
"109","Tulsa",28,0.75,18,3141,32,1801.815
"110","UCF",13,0.5,25,1823,25,705.87
"111","UCLA",22,0.333,23,1011,13,267.82524
"112","UConn",8,0.25,11,1408,11,267.915
"113","UNLV",16,0.333,15,2898,28,733.98528
"114","Utah",15,0.667,28,2526,24,1290.9785
"115","Utah St.",10,0.25,10,2046,25,390.035
"116","UTEP",21,0.333,11,2226,20,565.8003
"117","UTSA",24,0.5,18,1858,22,719.12
"118","Vanderbilt",9,0.5,18,1982,24,759.05
"119","Virginia",23,0.167,17,1363,13,177.05006
"120","Virginia Tech",29,0.692,21,2404,24,1281.54248
"121","Wake Forest",7,0.5,25,1770,15,677.94
"122","Washington",46,0.923,33,2730,24,1956.9446
"123","Washington St.",39,0.667,22,1522,23,806.05616
"124","West Virginia",26,0.833,25,2874,22,1831.2672
"125","Western Ky.",39,0.769,18,2347,31,1402.7329
"126","Western Mich.",32,1,26,3081,35,2372.44
"127","Wisconsin",13,0.769,27,2659,29,1566.16078
"128","Wyoming",27,0.615,25,2710,30,1283.3697
