"","Name","PassTD","Pct","TurnGain","RushYds","RushTD","rankscore"
"1","Air Force",13,0.75,20,3873,35,2201.355
"2","Akron",25,0.417,14,1586,13,510.54144
"3","Alabama",25,1,24,3185,28,2433.28
"4","Appalachian St.",15,0.75,21,2965,27,1692.915
"5","Arizona",13,0.25,14,2820,26,535.125
"6","Arizona St.",16,0.417,17,1578,27,512.1177
"7","Arkansas",24,0.583,19,2099,20,941.7199
"8","Arkansas St.",18,0.583,19,1755,19,789.382
"9","Army West Point",7,0.583,20,3934,40,1737.42162
"10","Auburn",11,0.667,17,3342,32,1690.35142
"11","Ball St.",14,0.333,14,2640,25,668.37762
"12","Baylor",30,0.5,19,3003,24,1147.15
"13","Boise St.",27,0.833,8,2185,29,1400.72282
"14","Boston College",11,0.5,23,1761,15,675.57
"15","Bowling Green",19,0.333,17,2170,18,552.4803
"16","Buffalo",11,0.167,13,1839,12,233.19212
"17","BYU",14,0.667,29,2399,26,1229.7479
"18","California",37,0.417,18,1852,16,600.23814
"19","Central Mich.",23,0.5,18,1424,17,555.32
"20","Charlotte",17,0.333,22,2121,18,541.31148
"21","Cincinnati",19,0.333,24,1418,8,365.65398
"22","Clemson",41,0.923,24,2250,25,1618.12976
"23","Colorado",21,0.769,26,2495,29,1477.91034
"24","Colorado St.",24,0.583,14,2676,28,1193.09784
"25","Duke",18,0.333,19,1843,19,472.56696
"26","East Carolina",26,0.25,8,1589,13,305.49
"27","Eastern Mich.",23,0.583,23,1898,21,857.2432
"28","FIU",19,0.333,14,1783,16,455.46408
"29","Fla. Atlantic",9,0.25,15,2258,31,431.82
"30","Florida",16,0.667,21,1558,11,799.98646
"31","Florida St.",21,0.75,22,2481,31,1432.515
"32","Fresno St.",13,0.083,9,1394,11,88.32528
"33","Ga. Southern",13,0.417,19,2690,24,853.4739
"34","Georgia",14,0.583,25,2238,16,996.86004
"35","Georgia St.",17,0.25,18,1052,10,205.505
"36","Georgia Tech",9,0.667,18,3089,32,1564.83536
"37","Hawaii",21,0.462,14,2088,23,740.60448
"38","Houston",24,0.75,18,1887,28,1099.725
"39","Idaho",15,0.667,25,1696,19,875.79768
"40","Illinois",13,0.25,18,1686,14,322.955
"41","Indiana",19,0.5,19,1862,17,715.96
"42","Iowa",17,0.667,16,2063,23,1055.60754
"43","Iowa St.",21,0.25,13,1953,18,374.18
"44","Kansas",16,0.167,22,1429,11,184.50828
"45","Kansas St.",9,0.667,23,2795,36,1425.72584
"46","Kent St.",11,0.25,24,2010,15,384.08
"47","Kentucky",16,0.583,21,2895,29,1287.59048
"48","La.-Monroe",15,0.333,13,2176,21,552.5802
"49","Louisiana",12,0.5,16,2169,18,825.43
"50","Louisiana Tech",39,0.615,17,2031,28,975.4146
"51","Louisville",32,0.75,24,3081,37,1779.6
"52","LSU",10,0.636,16,2619,29,1268.23488
"53","Marshall",28,0.25,20,1298,12,254.61
"54","Maryland",13,0.5,10,2466,24,936.33
"55","Massachusetts",27,0.167,15,1194,10,155.93458
"56","Memphis",30,0.667,28,1998,23,1039.03926
